代碼,名稱,產業,上月實際(百萬),上月MoM%,預測(百萬),預測MoM%,預測YoY%,近3月YoY中位,加速度pp,兩法一致,基期註記,大戶週Δpp,法人5日(張)
4973,廣穎,半導體業,1008.2,17.0,1022.1,1.4,210.3,197.3,98.5,✅,,0.61,-166
2337,旺宏,半導體業,7724.7,11.0,7914.1,2.5,209.5,180.5,84.0,❌,,0.74,-17457
8271,宇瞻,半導體業,2791.2,-4.2,2957.6,6.0,193.8,200.6,-92.1,✅,,1.82,-2131
3041,揚智,半導體業,185.0,4.4,203.3,9.9,185.4,167.5,149.3,❌,,0.02,210
2305,全友,電腦及週邊設備業,178.6,19.1,148.2,-17.0,178.1,142.3,67.4,❌,,1.37,-2144
2442,新美齊,建材營造業,48.0,-2.0,56.7,18.1,176.4,220.1,-390.8,❌,,-0.25,-3123
6199,天品,其他業,77.6,1.6,78.5,1.3,157.2,477.0,-110.5,—,⚠️換檔(YoY將失速),-0.87,-49
2360,致茂,其他電子業,5434.2,32.1,5616.0,3.3,155.6,133.1,47.0,❌,,0.2,-162
3081,聯亞,通信網路業,501.2,19.2,467.5,-6.7,152.3,128.1,36.7,❌,,0.47,516
6588,東典光電,通信網路業,30.9,-7.3,27.3,-11.9,151.6,110.5,-35.7,❌,,-1.67,-245
4542,科嶠,電子零組件業,116.0,-12.5,105.7,-9.0,151.2,102.0,94.7,❌,,0.94,-636
3167,大量,電機機械,1146.9,10.2,1187.6,3.5,146.3,139.7,16.6,✅,,-2.87,240
7711,永擎,電腦及週邊設備業,5143.8,101.7,5143.8,0.0,142.7,140.8,140.9,—,⚠️換檔(YoY將失速),0.26,641
6227,茂綸,電子通路業,3340.0,67.7,3187.7,-4.6,142.1,45.5,27.1,—,⚠️換檔(YoY將失速),-0.29,-113
4967,十銓,半導體業,2544.9,-15.7,2251.4,-11.5,140.4,98.7,20.1,❌,,0.9,565
6691,洋基工程,其他電子業,4763.8,7.3,3943.2,-17.2,134.0,115.2,48.5,❌,,-0.36,-442
2425,承啟,電腦及週邊設備業,1909.6,-20.7,2120.1,11.0,133.6,143.6,55.8,✅,,0.63,415
6589,台康生技,生技醫療業,211.8,86.9,167.8,-20.8,131.7,94.3,66.1,❌,,-0.17,-321
3693,營邦,電腦及週邊設備業,1224.9,5.6,1073.6,-12.3,129.7,75.0,99.8,❌,,-0.45,2070
2347,聯強,電子通路業,72339.1,-5.3,76220.2,5.4,127.9,129.3,64.9,✅,,-0.09,4512
6274,台燿,電子零組件業,5908.1,20.7,5744.7,-2.8,125.8,121.5,49.2,✅,,-1.81,-1373
3443,創意,半導體業,5769.2,17.1,6207.1,7.6,124.3,132.1,72.0,✅,,-1.48,3
2383,台光電,電子零組件業,19206.7,8.3,19617.0,2.1,123.8,120.7,64.1,✅,,-0.31,-928
2382,廣達,電腦及週邊設備業,366274.1,-4.9,341546.0,-6.8,123.5,102.9,14.5,❌,,-0.03,25275
6531,愛普*,半導體業,1103.9,36.1,909.6,-17.6,121.3,89.3,-23.3,❌,,0.14,-1110
3036,文曄,電子通路業,182965.7,0.7,215933.2,18.0,115.7,152.7,74.0,❌,,-0.71,-17774
2101,南港,橡膠工業,1211.2,-64.5,1480.5,22.2,115.1,158.7,8.1,❌,,0.22,-390
4931,新盛力,電腦及週邊設備業,449.4,14.0,471.2,4.9,115.0,159.5,123.4,❌,,-5.51,-1971
8054,安國,半導體業,633.0,142.2,564.6,-10.8,112.8,97.9,-57.4,❌,,0.31,-160
2467,志聖,電子零組件業,1167.5,34.3,1129.6,-3.2,109.7,94.1,16.5,❌,,0.13,257
3028,增你強,電子通路業,7334.1,22.6,7505.2,2.3,109.5,102.5,-3.7,✅,,-0.39,-256
6693,廣閎科,半導體業,242.5,3.5,243.5,0.4,107.6,108.9,23.2,✅,,-0.04,-1577
2547,日勝生,建材營造業,1221.3,5.0,1209.5,-1.0,105.5,142.0,151.3,❌,,0.04,-442
5314,世紀*,其他業,552.8,-4.5,471.2,-14.8,105.1,157.4,20.7,❌,,0.97,5795
3702,大聯大,電子通路業,146095.6,-24.3,160199.7,9.7,103.2,90.8,62.3,❌,,-0.66,2693
6259,百徽,電子零組件業,74.4,1.0,70.3,-5.5,103.2,82.7,52.1,❌,,0.0,-191
4949,有成精密,光電業,364.5,9.2,301.2,-17.4,101.7,68.7,26.5,❌,,0.04,-608
6196,帆宣,其他電子業,7518.6,-1.0,7905.4,5.1,101.4,101.3,83.8,✅,,-0.05,1167
6152,百一,通信網路業,302.3,63.0,287.5,-4.9,101.2,78.6,100.6,❌,,0.12,-346
3324,雙鴻,其他電子業,3765.5,38.5,3780.9,0.4,101.2,93.8,26.8,✅,,2.91,6558
3022,威強電,電腦及週邊設備業,1009.7,4.9,867.5,-14.1,100.8,80.0,83.7,❌,,-0.21,1774
7769,鴻勁,半導體業,5245.9,-1.0,5470.6,4.3,100.8,100.8,-10.4,—,,0.11,-401
2542,興富發,建材營造業,4808.1,-6.8,7651.3,59.1,100.2,196.6,-1341.1,—,⚠️換檔(YoY將失速),0.31,8720
6613,朋億*,其他電子業,1292.5,-35.1,1169.5,-9.5,98.4,81.7,50.9,❌,,-0.58,-1352
8076,伍豐,電腦及週邊設備業,253.8,62.6,205.2,-19.1,98.1,40.4,-5.4,❌,,-0.13,-1258
4916,事欣科,電腦及週邊設備業,520.6,3.8,598.9,15.0,98.0,104.3,63.4,✅,,-0.48,-609
3709,鑫聯大投控,電腦及週邊設備業,6513.4,-14.5,5486.4,-15.8,97.8,72.1,63.0,❌,,-0.36,-351
3162,精確,電機機械,1076.2,19.9,1113.8,3.5,97.1,58.7,59.2,❌,,-0.22,-814
3290,東浦,電子零組件業,366.2,6.2,401.8,9.7,95.1,89.8,21.3,✅,,-0.09,-584
3450,聯鈞,半導體業,1218.5,7.0,1158.0,-5.0,94.6,88.2,113.8,✅,,-1.68,-337
2395,研華,電腦及週邊設備業,11272.2,11.4,10706.3,-5.0,92.7,73.4,51.6,❌,,-0.14,2892
6285,啟碁,通信網路業,16912.8,6.6,16548.0,-2.2,91.0,84.4,80.6,✅,,0.14,981
1316,上曜,建材營造業,695.5,2.6,682.6,-1.9,90.9,102.0,-9.2,❌,,-0.08,-206
8021,尖點,其他電子業,730.5,7.3,743.7,1.8,90.8,90.1,38.7,✅,,0.29,-6220
2855,統一證,金融保險業,1689.2,-47.6,3396.9,101.1,89.7,199.0,-22.4,❌,,0.14,1645
6187,萬潤,半導體業,1054.7,4.2,1031.1,-2.2,88.8,73.4,53.9,❌,,0.13,-732
6446,藥華藥,生技醫療業,2507.3,7.5,2388.7,-4.7,87.5,94.9,30.5,✅,,-0.04,-3984
6209,今國光,光電業,524.2,21.2,503.8,-3.9,87.1,73.3,6.4,❌,,-0.78,914
2485,兆赫,通信網路業,311.8,13.5,336.5,7.9,86.8,80.9,-3.9,✅,,0.11,512
5498,凱崴,電子零組件業,226.3,8.4,229.0,1.2,85.7,86.3,38.7,✅,,-0.63,-1054
9958,世紀鋼,鋼鐵工業,1931.5,-9.7,1749.7,-9.4,85.2,64.1,40.0,❌,,-2.3,-743
3360,尚立,電子通路業,999.1,-15.1,1111.1,11.2,84.6,95.2,64.8,❌,,-0.05,-297
6023,元大期,金融保險業,513.6,2.5,516.7,0.6,84.0,86.2,76.6,✅,,-0.24,694
6834,天二科技,電子零組件業,243.0,13.3,218.9,-9.9,83.8,66.5,34.2,❌,,-0.52,1411
2388,威盛,半導體業,1135.9,-9.0,949.2,-16.4,82.3,43.3,-26.1,❌,,-0.27,3711
2543,皇昌,建材營造業,1766.7,-9.6,1921.1,8.7,81.7,93.8,73.4,❌,,-0.05,620
4989,榮科,電子零組件業,339.5,-8.3,365.6,7.7,80.6,73.4,19.4,✅,,0.04,-1845
2495,普安,電腦及週邊設備業,149.8,13.7,141.4,-5.6,80.5,64.2,27.5,❌,,0.35,-257
3234,光環,通信網路業,96.0,25.2,93.0,-3.2,79.9,62.8,71.9,❌,,2.3,2448
8422,可寧衛*,綠能環保,572.9,-5.9,612.3,6.9,79.8,59.9,71.3,❌,,0.15,22
2539,櫻花建,建材營造業,527.9,-50.0,869.9,64.8,79.6,79.5,113.1,—,,-0.04,696
2376,技嘉,電腦及週邊設備業,44213.0,3.1,42550.2,-3.8,78.1,59.7,-14.0,❌,,-0.42,1992
2368,金像電,電子零組件業,10014.5,21.3,10467.1,4.5,77.8,78.2,19.8,✅,,-0.19,-3326
3229,晟鈦,電子零組件業,144.6,5.3,138.4,-4.3,76.8,76.8,20.5,✅,,-1.66,-508
1709,和益,化學工業,1130.2,9.7,1169.0,3.4,76.7,70.1,67.9,✅,,-0.63,-952
3653,健策,電子零組件業,3213.2,21.3,2984.2,-7.1,76.6,57.6,38.8,❌,,-0.32,239
6716,應廣,半導體業,169.5,12.3,144.4,-14.8,75.7,60.6,19.5,❌,,-0.84,-390
6426,統新,通信網路業,78.3,10.7,71.6,-8.5,74.1,70.1,0.0,✅,,0.54,997
3515,華擎,電腦及週邊設備業,6610.4,78.7,6432.9,-2.7,74.0,47.6,77.5,❌,,-0.55,619
8043,蜜望實,電子零組件業,762.6,22.5,699.1,-8.3,73.7,59.6,32.8,❌,,0.31,-161
3706,神達,電腦及週邊設備業,12833.6,-18.2,10676.6,-16.8,73.2,49.7,17.9,❌,,0.09,4830
5291,邑昇,電子零組件業,185.3,51.1,155.4,-16.2,73.1,40.5,-1.1,❌,,0.67,466
3003,健和興,電子零組件業,657.9,9.8,595.0,-9.6,72.9,52.8,30.1,❌,,0.39,-815
1714,和桐,化學工業,3330.7,8.3,3354.4,0.7,71.9,77.4,34.4,✅,,-0.25,-15292
6416,瑞祺電通,通信網路業,451.3,-32.4,448.9,-0.5,71.4,58.6,65.9,❌,,-0.4,55
8383,千附,半導體業,496.3,-25.1,503.4,1.4,70.8,77.5,39.2,✅,,-0.12,-631
3033,威健,電子通路業,14411.3,-0.8,13466.3,-6.6,70.7,54.4,41.8,❌,,-0.9,-3922
3048,益登,電子通路業,13745.9,9.3,15342.7,11.6,70.3,60.1,37.9,❌,,-0.06,-126
3231,緯創,電腦及週邊設備業,308219.2,-4.2,293199.7,-4.9,69.8,53.8,-63.8,❌,,-0.68,57301
6213,聯茂,電子零組件業,4749.2,12.7,4324.5,-8.9,69.7,47.9,34.2,❌,,0.17,-1144
6770,力積電,半導體業,6668.9,3.0,6748.4,1.2,69.6,68.8,40.5,✅,,0.12,-40015
3715,定穎投控,電子零組件業,2531.2,10.5,2695.4,6.5,69.1,69.1,37.9,—,,0.4,-7138
3689,湧德,電子零組件業,842.8,9.7,813.3,-3.5,68.8,64.9,23.1,✅,,0.61,-662
6163,華電網,資訊服務業,797.2,68.4,1049.9,31.7,68.7,51.1,-18.2,❌,,0.34,757
5443,均豪,半導體業,837.1,79.5,913.6,9.1,68.6,-10.1,-34.5,—,⚠️換檔(YoY將失速),0.44,-1172
2363,矽統,半導體業,404.6,-13.3,477.2,17.9,68.6,74.8,-12.4,✅,,-0.61,-350
8027,鈦昇,電機機械,189.4,-23.3,187.3,-1.1,68.2,62.5,37.7,✅,,-0.02,-1023
6215,和椿,其他電子業,378.2,35.5,293.8,-22.3,67.9,37.2,-14.0,❌,,0.05,123
6442,光聖,通信網路業,1229.4,15.0,1081.9,-12.0,67.6,49.2,5.2,❌,,-0.35,987
1785,光洋科,其他電子業,5261.1,14.2,5778.8,9.8,67.3,70.8,7.9,✅,,-0.19,-2413
2404,漢唐,其他電子業,9945.3,13.7,9871.5,-0.7,67.2,63.8,-36.8,✅,,0.07,-1473
2406,國碩,光電業,997.6,23.9,871.5,-12.6,67.1,66.1,-93.6,✅,,-0.51,-779
2345,智邦,通信網路業,39472.6,-0.2,42667.7,8.1,66.4,61.2,7.3,✅,,-0.38,-2981
6532,瑞耘,半導體業,88.0,44.1,73.0,-17.0,65.9,36.4,40.6,❌,,-0.38,639
7788,松川精密,電子零組件業,986.4,19.1,868.1,-12.0,65.7,65.7,52.1,—,,0.85,-1004
4576,大銀微系統,電機機械,366.9,6.6,354.3,-3.4,64.4,60.1,19.9,✅,,0.15,1091
5388,中磊,通信網路業,7979.7,9.7,7935.2,-0.6,63.4,70.0,4.4,✅,,-1.58,-5724
3305,昇貿,其他電子業,1413.9,-2.2,1537.3,8.7,63.3,71.4,9.0,✅,,-0.11,-1531
3357,臺慶科,電子零組件業,875.9,14.6,866.4,-1.1,62.6,57.4,45.4,✅,,-0.08,-52
4526,東台,電機機械,664.8,37.5,584.0,-12.1,62.4,50.0,79.4,❌,,-0.02,-6312
3088,艾訊,電腦及週邊設備業,944.4,17.3,853.8,-9.6,61.2,49.0,18.5,❌,,0.02,225
6517,保勝光學,光電業,56.7,13.9,44.4,-21.7,61.2,6.1,24.8,❌,,-0.19,-243
6913,鴻呈,電子零組件業,372.7,21.0,392.3,5.3,61.1,61.1,47.4,—,,1.27,-184
7795,長廣,電子零組件業,183.8,4.6,273.9,49.0,61.0,61.0,73.8,—,,0.01,102
6223,旺矽,半導體業,1805.4,-1.5,1926.1,6.7,59.7,65.1,19.5,✅,,-0.56,-527
6141,柏承,電子零組件業,254.9,15.3,218.8,-14.2,59.4,34.7,25.3,❌,,-2.77,232
6414,樺漢,電腦及週邊設備業,16400.6,-7.1,17223.5,5.0,59.1,55.1,35.8,✅,,-0.73,-18
2885,元大金,金融保險業,17560.4,-10.3,18838.1,7.3,59.0,79.0,8.8,❌,,-0.07,41107
1815,富喬,電子零組件業,854.4,24.0,809.5,-5.2,59.0,49.9,-3.3,❌,,8.17,18949
2501,國建,建材營造業,2481.4,104.9,1618.0,-34.8,59.0,-1.7,-195.2,❌,,0.06,-562
5426,振發,電腦及週邊設備業,225.0,39.6,210.8,-6.3,58.5,40.5,46.1,❌,,0.42,163
8234,新漢,電腦及週邊設備業,751.9,10.5,652.9,-13.2,57.8,38.6,70.9,❌,,-0.5,187
2302,麗正,半導體業,122.2,22.5,113.6,-7.1,57.8,45.7,18.8,❌,,0.53,320
2357,華碩,電腦及週邊設備業,84131.3,-21.2,98939.6,17.6,57.5,53.3,19.5,✅,,0.07,7720
2316,楠梓電,電子零組件業,510.3,59.2,453.6,-11.1,56.8,39.1,22.6,❌,,-0.22,-1508
2351,順德,半導體業,1328.0,9.4,1289.6,-2.9,56.8,51.7,38.5,✅,,3.71,1251
6156,松上,電子零組件業,617.6,0.2,582.1,-5.8,56.6,50.8,49.2,✅,,0.26,-398
7751,竑騰,半導體業,241.9,-2.0,267.3,10.5,56.1,56.1,-11.1,—,,-0.0,61
8114,振樺電,電腦及週邊設備業,1967.5,-1.2,1733.0,-11.9,55.9,19.1,56.4,❌,,-0.08,-66
6782,視陽,生技醫療業,465.7,3.3,464.4,-0.3,55.6,22.8,11.1,❌,,1.7,-761
3017,奇鋐,電腦及週邊設備業,18590.2,5.5,19610.9,5.5,55.4,60.6,-14.1,✅,,-0.03,1779
6715,嘉基,電子零組件業,154.6,17.6,120.1,-22.3,55.2,-9.2,-18.7,❌,,-0.25,-323
6108,競國,電子零組件業,654.9,49.6,636.4,-2.8,54.8,46.3,23.9,❌,,0.39,-1787
3680,家登,半導體業,871.0,15.8,867.0,-0.5,54.8,37.9,13.1,❌,,0.42,1583
6139,亞翔,其他電子業,10928.6,28.8,12026.7,10.0,54.6,62.3,-8.3,✅,,0.29,-1442
1723,中碳,化學工業,683.3,1.3,650.9,-4.7,54.4,46.2,32.4,❌,,0.39,-340
3594,磐儀,電腦及週邊設備業,257.0,-2.8,269.0,4.7,54.0,51.1,0.8,✅,,-0.52,-1390
8040,九暘,半導體業,83.9,8.8,86.5,3.1,53.6,42.5,16.3,❌,,0.11,-1822
2889,國票金,金融保險業,1111.4,-33.1,1368.5,23.1,53.2,100.0,49.7,❌,,-0.13,47347
2356,英業達,電腦及週邊設備業,90190.3,-11.8,93895.8,4.1,53.2,61.6,25.1,❌,,0.1,25550
3044,健鼎,電子零組件業,9821.9,22.7,9460.8,-3.7,53.1,46.6,22.2,✅,,-0.21,-40
8084,巨虹,電子通路業,64.9,88.9,54.8,-15.6,53.0,-1.8,-3.5,❌,,-1.28,-8
4739,康普,化學工業,975.6,2.3,990.8,1.6,52.7,128.9,25.3,—,⚠️換檔(YoY將失速),0.77,-871
2464,盟立,其他電子業,863.0,6.2,815.3,-5.5,52.6,43.0,35.1,❌,,5.13,11524
4534,慶騰,電機機械,116.5,10.3,103.1,-11.5,52.5,42.5,15.4,❌,,-0.86,25
3491,昇達科,通信網路業,230.1,-10.4,253.5,10.2,52.5,82.0,25.0,❌,,0.8,-534
1416,廣豐,其他業,44.6,-8.5,46.7,4.8,52.0,68.3,41.8,❌,,0.48,15
6245,立端,通信網路業,1053.4,48.7,880.3,-16.4,51.8,14.1,-4.7,❌,,-0.13,-1262
2636,台驊控股,航運業,2812.7,8.7,2378.2,-15.4,51.7,25.2,29.7,❌,,-0.05,189
2364,倫飛,電腦及週邊設備業,189.7,3.9,205.7,8.5,51.4,51.5,52.9,✅,,-0.19,-282
6538,倉和,電子零組件業,157.3,15.9,162.9,3.6,51.0,46.5,65.9,✅,,1.39,2198
2317,鴻海,其他電子業,946512.5,15.2,914661.5,-3.4,50.8,52.1,22.4,✅,,-0.1,27138
2428,興勤,電子零組件業,979.0,0.6,939.5,-4.0,50.7,46.6,35.4,✅,,-1.54,306
6175,立敦,電子零組件業,474.5,-2.3,430.5,-9.3,50.2,40.6,24.8,❌,,-0.01,-127
3312,弘憶股,電子通路業,2603.5,21.5,2507.0,-3.7,50.1,40.7,37.4,❌,,0.07,-712
2527,宏璟,建材營造業,166.3,25.4,176.1,5.9,50.0,30.5,26.8,❌,,-0.44,-141
3046,建碁,電腦及週邊設備業,950.9,-2.2,933.8,-1.8,50.0,51.6,49.7,✅,,-0.15,-412
5512,力麒,建材營造業,762.2,64.8,692.5,-9.2,49.9,9.8,17.2,❌,,-0.07,-161
8227,巨有科技,半導體業,131.1,-17.6,157.7,20.3,49.8,75.6,-6.3,❌,,0.0,-102
4577,達航科技,其他電子業,96.5,0.0,96.6,0.0,49.6,59.8,-20.1,❌,,0.13,-661
6206,飛捷,電腦及週邊設備業,568.5,-6.8,538.1,-5.3,49.6,38.2,20.0,❌,,-0.27,412
2327,國巨*,電子零組件業,16131.2,5.0,16081.0,-0.3,49.5,47.5,25.4,✅,,-0.5,-14581
2330,台積電,半導體業,467580.5,5.6,500842.8,7.1,49.2,44.7,22.5,✅,,0.04,-11872
5490,同亨,電腦及週邊設備業,140.7,-21.7,175.2,24.5,49.2,50.2,32.7,✅,,-1.03,-1011
8358,金居,電子零組件業,1008.6,4.8,984.0,-2.4,48.8,43.4,0.5,✅,,3.35,1651
8996,高力,電機機械,922.7,27.3,841.9,-8.8,48.8,40.0,-165.3,❌,,-2.23,-1826
2027,大成鋼,鋼鐵工業,12618.3,6.0,12583.3,-0.3,48.4,43.7,18.6,✅,,-0.04,5965
6510,精測,半導體業,614.6,7.1,613.0,-0.3,48.1,40.2,14.7,❌,,0.07,-594
6005,群益證,金融保險業,2046.1,-43.9,3083.0,50.7,47.9,101.2,46.8,❌,,-0.02,-743
8088,品安,半導體業,216.5,75.1,197.2,-8.9,47.9,44.9,12.5,✅,,-0.08,-401
3209,全科,電子通路業,6601.7,17.7,6233.9,-5.6,47.9,47.9,12.9,✅,,-1.03,-2868
1597,直得,電機機械,136.6,3.6,135.4,-0.9,47.8,47.8,9.2,✅,,0.86,-2744
6190,萬泰科,通信網路業,1063.9,8.0,912.8,-14.2,47.7,30.1,18.3,❌,,0.78,-1430
8046,南電,電子零組件業,5439.8,16.1,5608.9,3.1,47.3,50.0,11.0,✅,,0.0,-6775
2476,鉅祥,電子零組件業,970.5,6.1,992.6,2.3,47.2,53.8,29.1,✅,,0.57,-323
3712,永崴投控,電腦及週邊設備業,3356.9,340.1,2905.5,-13.4,46.8,11.0,19.3,❌,,-0.02,749
1617,榮星,電器電纜,419.8,11.6,373.7,-11.0,46.7,39.6,15.9,✅,,0.06,-1336
2478,大毅,電子零組件業,660.9,5.9,649.2,-1.8,46.5,35.8,24.2,❌,,-0.51,1404
2455,全新,通信網路業,422.1,29.5,402.7,-4.6,46.4,45.1,28.5,✅,,1.26,10720
6640,均華,半導體業,688.9,102.2,575.5,-16.5,46.0,0.3,-142.0,—,⚠️換檔(YoY將失速),0.0,127
3016,嘉晶,半導體業,482.1,7.5,468.4,-2.8,45.9,41.2,20.8,✅,,-0.23,-703
1229,聯華,食品工業,2104.6,104.9,1482.2,-29.6,45.7,-8.8,4.0,❌,,0.26,1014
3624,光頡,電子零組件業,351.6,9.2,322.7,-8.2,45.7,30.8,9.9,❌,,0.82,2764
4114,健喬,生技醫療業,791.7,5.4,730.9,-7.7,45.2,30.7,17.2,❌,,-0.3,-14
2472,立隆電,電子零組件業,1327.8,4.0,1255.8,-5.4,44.9,36.2,26.9,❌,,0.25,758
6472,保瑞,生技醫療業,1901.6,-17.2,1988.4,4.6,44.9,39.2,62.4,✅,,-0.18,-648
2308,台達電,電子零組件業,67073.2,2.2,69277.7,3.3,44.8,47.7,10.1,✅,,-0.01,-3862
2030,彰源,鋼鐵工業,1078.1,9.2,1078.2,0.0,44.7,37.9,41.1,✅,,1.43,512
2615,萬海,航運業,18639.6,15.3,16765.4,-10.1,44.6,32.7,33.2,❌,,0.7,-973
1795,美時,生技醫療業,2491.7,-26.7,1668.7,-33.0,43.9,105.8,-25.7,—,⚠️換檔(YoY將失速),0.12,-747
2108,南帝,橡膠工業,1028.0,-2.7,1060.1,3.1,43.7,31.8,7.9,❌,,0.31,79
6753,龍德造船,航運業,519.1,1.0,522.5,0.6,43.7,33.4,15.0,❌,,-0.81,62
4939,亞電,電子零組件業,168.2,11.3,171.5,2.0,43.5,36.8,38.6,✅,,7.47,28
3037,欣興,電子零組件業,16253.6,9.1,16270.4,0.1,43.3,36.3,13.1,✅,,0.15,-929
3090,日電貿,電子零組件業,2095.2,24.6,1979.6,-5.5,43.3,32.4,4.2,❌,,-1.03,3351
3029,零壹,資訊服務業,3242.0,27.8,3459.7,6.7,43.3,27.4,13.2,❌,,0.32,1061
2646,星宇航空,航運業,5728.9,8.4,5379.1,-6.1,42.5,41.2,8.1,✅,,0.05,-3002
4566,時碩工業,電機機械,554.7,4.7,551.7,-0.5,42.5,31.9,26.4,❌,,-1.8,-687
2605,新興,航運業,478.9,-1.5,455.9,-4.8,42.5,36.3,1.5,✅,,-1.32,-738
3264,欣銓,半導體業,1766.7,13.8,1742.4,-1.4,42.3,36.5,9.5,✅,,-0.05,96
4123,晟德,生技醫療業,156.5,34.6,132.7,-15.2,42.0,8.1,-20.3,❌,,0.04,-3127
2401,凌陽,半導體業,745.8,1.6,693.0,-7.1,42.0,35.2,21.1,✅,,-0.27,-406
2061,風青,電器電纜,126.1,3.7,119.0,-5.6,42.0,31.5,30.3,❌,,-0.55,-229
6279,胡連,電子零組件業,975.9,-0.1,1065.0,9.1,41.8,38.2,52.2,✅,,-0.64,-764
8374,羅昇,電機機械,516.8,3.2,499.2,-3.4,41.7,39.8,-3.8,✅,,-0.79,33
8210,勤誠,電腦及週邊設備業,2462.3,-23.9,2473.3,0.4,41.5,41.5,-3.2,✅,,-0.34,-185
2890,永豐金,金融保險業,9954.1,2.8,9510.9,-4.5,41.4,51.3,0.6,❌,,-0.36,48882
2397,友通,電腦及週邊設備業,1284.9,0.0,1183.3,-7.9,41.3,31.4,2.3,❌,,-0.01,-365
8415,大國鋼,鋼鐵工業,2666.4,1.3,2653.5,-0.5,40.9,36.6,22.7,✅,,0.02,289
4561,健椿,電機機械,126.0,15.5,99.5,-21.0,40.6,26.5,18.6,❌,,0.0,113
1727,中華化,化學工業,235.2,4.8,221.7,-5.7,40.5,32.5,20.4,❌,,1.37,-783
3060,銘異,電腦及週邊設備業,385.7,-9.6,404.0,4.7,39.9,36.4,40.5,✅,,0.15,-1365
1336,台翰,電子零組件業,324.3,18.8,301.3,-7.1,39.9,29.6,38.5,❌,,0.01,34
6291,沛亨,半導體業,244.2,0.4,282.6,15.7,39.8,39.4,-2.7,✅,,0.0,-534
1773,勝一,化學工業,1336.5,6.9,1336.8,0.0,39.6,28.4,11.2,❌,,-0.03,-1709
4764,雙鍵,化學工業,294.2,3.4,304.5,3.5,39.5,42.5,16.9,✅,,-0.6,-530
4147,中裕,生技醫療業,63.7,40.7,70.5,10.6,39.3,42.9,40.1,✅,,-0.12,-119
3141,晶宏,半導體業,215.7,15.9,187.6,-13.0,39.3,19.9,10.4,❌,,0.48,3489
4541,晟田,其他業,194.5,-2.5,196.9,1.2,39.2,39.1,-5.5,✅,,0.1,-519
